IC_L_7: t= 3.40, L= 100.68, L_straight= 100.68, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.01, -1.52), Fy_cmd=  0.00, desired=  0.00, ret= -0.24, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 100.65, L_straight= 100.65, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.01, -1.23), Fy_cmd=  0.00, desired=  0.00, ret= -0.22, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 100.63, L_straight= 100.63, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -1.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.20, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 100.61, L_straight= 100.61, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.81), Fy_cmd=  0.00, desired=  0.00, ret= -0.18, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 100.59, L_straight= 100.59, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.65), Fy_cmd=  0.00, desired=  0.00, ret= -0.16, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 100.58, L_straight= 100.58, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.53), Fy_cmd=  0.00, desired=  0.00, ret= -0.14, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 100.56, L_straight= 100.56, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.43), Fy_cmd=  0.00, desired=  0.00, ret= -0.13, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 100.55, L_straight= 100.55, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.35), Fy_cmd=  0.00, desired=  0.00, ret= -0.12, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.20, L= 100.54, L_straight= 100.54, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.28), Fy_cmd=  0.00, desired=  0.00, ret= -0.11, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.30, L= 100.53, L_straight= 100.53, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.23), Fy_cmd=  0.00, desired=  0.00, ret= -0.09, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.40, L= 100.52, L_straight= 100.52, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.18), Fy_cmd=  0.00, desired=  0.00, ret= -0.09, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.50, L= 100.51, L_straight= 100.51, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.15), Fy_cmd=  0.00, desired=  0.00, ret= -0.08, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.60, L= 100.50, L_straight= 100.50, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.12), Fy_cmd=  0.00, desired=  0.00, ret= -0.07, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 100.49, L_straight= 100.49, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.10), Fy_cmd=  0.00, desired=  0.00, ret= -0.06, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 100.49, L_straight= 100.49, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd=  0.00, desired=  0.00, ret= -0.06, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 100.48, L_straight= 100.48, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd=  0.00, desired=  0.00, ret= -0.05, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 100.48, L_straight= 100.48, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.05), Fy_cmd=  0.00, desired=  0.00, ret= -0.05, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.10, L= 100.47, L_straight= 100.47, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired=  0.00, ret= -0.04, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 100.47, L_straight= 100.47, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd=  0.00, desired=  0.00, ret= -0.04, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.30, L= 100.47, L_straight= 100.47, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd=  0.00, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.40, L= 100.46, L_straight= 100.46, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.50, L= 100.46, L_straight= 100.46, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.60, L= 100.46, L_straight= 100.46, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.70, L= 100.45, L_straight= 100.45, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.80, L= 100.45, L_straight= 100.45, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.90, L= 100.45, L_straight= 100.45, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.00, L= 100.45, L_straight= 100.45, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.10, L= 100.45, L_straight= 100.45, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.20, L= 100.45, L_straight= 100.45, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.30, L= 100.44, L_straight= 100.44, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.40, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.50, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.60, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.70, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.80, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.90, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.00, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.10, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.20, L= 100.44, L_straight= 100.44, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.30, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.40, L= 100.44, L_straight= 100.44, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.50, L= 100.44, L_straight= 100.44, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.60, L= 100.44, L_straight= 100.44, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.70, L= 100.43, L_straight= 100.43, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.80, L= 100.43, L_straight= 100.43, slack= -0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
