IC_L_7: t= 3.30, L= 99.77, L_straight=  9.28, slack= 90.49, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.40, L= 99.76, L_straight=  9.25, slack= 90.51, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.50, L= 99.75, L_straight=  9.22, slack= 90.53, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.60, L= 99.74, L_straight=  9.19, slack= 90.54, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.70, L= 99.73, L_straight=  9.17, slack= 90.56, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.80, L= 99.72, L_straight=  9.14, slack= 90.58, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.90, L= 99.71, L_straight=  9.11, slack= 90.59, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.00, L= 99.70, L_straight=  9.09, slack= 90.61, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.10, L= 99.69, L_straight=  9.06, slack= 90.63, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.20, L= 99.68, L_straight=  9.03, slack= 90.64, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.30, L= 99.67, L_straight=  9.01, slack= 90.66, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.40, L= 99.66, L_straight=  8.98, slack= 90.68, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.50, L= 99.65, L_straight=  8.95, slack= 90.70, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.60, L= 99.64, L_straight=  8.93, slack= 90.71, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.70, L= 99.63, L_straight=  8.90, slack= 90.73, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.80, L= 99.62, L_straight=  8.87, slack= 90.75, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.90, L= 99.61, L_straight=  8.85, slack= 90.76, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.00, L= 99.60, L_straight=  8.82, slack= 90.78, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.10, L= 99.59, L_straight=  8.79, slack= 90.80, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.20, L= 99.58, L_straight=  8.77, slack= 90.81, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.30, L= 99.57, L_straight=  8.74, slack= 90.83, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.40, L= 99.56, L_straight=  8.71, slack= 90.85, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.50, L= 99.55, L_straight=  8.69, slack= 90.86, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.60, L= 99.54, L_straight=  8.66, slack= 90.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.70, L= 99.53, L_straight=  8.63, slack= 90.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.80, L= 99.52, L_straight=  8.61, slack= 90.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.90, L= 99.51, L_straight=  8.58, slack= 90.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.00, L= 99.50, L_straight=  8.55, slack= 90.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.10, L= 99.49, L_straight=  8.52, slack= 90.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.20, L= 99.48, L_straight=  8.50, slack= 90.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
