IC_L_7: t= 1.20, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.30, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.40, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.80, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.90, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.00, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.10, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.20, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.30, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.40, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.50, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.60, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.70, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.80, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.90, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.00, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.10, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.20, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.40, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.20, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.30, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.40, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.50, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.60, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.10, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.30, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.40, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.50, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.60, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
