IC_L_7: t= 4.60, L= 102.03, L_straight= 96.86, slack=  5.17, T_bat= 64.56, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret=  0.00, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.70, L= 102.03, L_straight= 96.80, slack=  5.24, T_bat= 64.62, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.80, L= 102.03, L_straight= 96.73, slack=  5.30, T_bat= 64.67, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret= -0.02, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.90, L= 102.03, L_straight= 96.66, slack=  5.37, T_bat= 64.73, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.00, L= 102.03, L_straight= 96.59, slack=  5.44, T_bat= 64.78, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.10, L= 102.02, L_straight= 96.52, slack=  5.50, T_bat= 64.83, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret= -0.04, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.20, L= 102.02, L_straight= 96.45, slack=  5.57, T_bat= 64.88, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.30, L= 102.02, L_straight= 96.38, slack=  5.63, T_bat= 64.94, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.40, L= 102.01, L_straight= 96.31, slack=  5.70, T_bat= 64.99, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.50, L= 102.00, L_straight= 96.25, slack=  5.76, T_bat= 65.04, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.60, L= 102.00, L_straight= 96.18, slack=  5.82, T_bat= 65.09, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.70, L= 101.99, L_straight= 96.11, slack=  5.88, T_bat= 65.13, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.80, L= 101.99, L_straight= 96.04, slack=  5.95, T_bat= 65.18, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 5.90, L= 101.98, L_straight= 95.97, slack=  6.01, T_bat= 65.23, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.00, L= 101.97, L_straight= 95.90, slack=  6.07, T_bat= 65.28, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.10, L= 101.96, L_straight= 95.83, slack=  6.13, T_bat= 65.33, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.20, L= 101.96, L_straight= 95.77, slack=  6.19, T_bat= 65.37, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.30, L= 101.95, L_straight= 95.70, slack=  6.25, T_bat= 65.42, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.40, L= 101.94, L_straight= 95.63, slack=  6.31, T_bat= 65.46, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.50, L= 101.93, L_straight= 95.56, slack=  6.37, T_bat= 65.51, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 6.60, L= 101.92, L_straight= 95.49, slack=  6.43, T_bat= 65.56, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
