IC_L_7: t= 5.50, L= 99.24, L_straight= 98.69, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.30, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.60, L= 99.21, L_straight= 98.66, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.29, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.70, L= 99.18, L_straight= 98.63, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.80, L= 99.16, L_straight= 98.61, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.90, L= 99.13, L_straight= 98.58, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.00, L= 99.10, L_straight= 98.55, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.10, L= 99.07, L_straight= 98.52, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.20, L= 99.05, L_straight= 98.50, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.30, L= 99.02, L_straight= 98.47, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.40, L= 99.00, L_straight= 98.44, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.22, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.50, L= 98.97, L_straight= 98.42, slack=  0.55, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.60, L= 98.95, L_straight= 98.39, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.70, L= 98.92, L_straight= 98.36, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.24, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.80, L= 98.90, L_straight= 98.34, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.24, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
