[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=7.8750814866033725 y=0.00 x=3.00 L=12.00
IC_L_7: t= 3.60, L= 11.74, L_straight=  2.49, slack=  9.25, T_bat= 133.57, T_rov= 134.10, F_drag_cable=( 0.01,  0.52), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.70, L= 11.73, L_straight=  2.52, slack=  9.21, T_bat= 133.00, T_rov= 133.21, F_drag_cable=(-0.15,  0.03), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.80, L= 11.72, L_straight=  2.57, slack=  9.15, T_bat= 132.06, T_rov= 131.95, F_drag_cable=(-0.78, -0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.90, L= 11.71, L_straight=  2.65, slack=  9.06, T_bat= 131.94, T_rov= 131.34, F_drag_cable=(-1.53, -0.41), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.00, L= 11.70, L_straight=  2.75, slack=  8.95, T_bat= 131.76, T_rov= 130.74, F_drag_cable=(-2.48, -0.65), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.10, L= 11.69, L_straight=  2.87, slack=  8.82, T_bat= 131.54, T_rov= 129.94, F_drag_cable=(-3.23, -0.70), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.20, L= 11.68, L_straight=  2.99, slack=  8.69, T_bat= 118.70, T_rov= 116.87, F_drag_cable=(-3.52, -0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.30, L= 11.67, L_straight=  3.05, slack=  8.62, T_bat= 104.85, T_rov= 103.60, F_drag_cable=(-0.85,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.40, L= 11.66, L_straight=  3.06, slack=  8.60, T_bat= 91.98, T_rov= 91.34, F_drag_cable=(-0.05,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.50, L= 11.65, L_straight=  3.04, slack=  8.61, T_bat= 81.82, T_rov= 81.54, F_drag_cable=( 0.10,  0.03), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.60, L= 11.64, L_straight=  2.99, slack=  8.65, T_bat= 83.13, T_rov= 83.15, F_drag_cable=( 0.58,  0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.70, L= 11.63, L_straight=  2.92, slack=  8.71, T_bat= 87.22, T_rov= 87.49, F_drag_cable=( 1.17,  0.19), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.80, L= 11.62, L_straight=  2.84, slack=  8.78, T_bat= 93.91, T_rov= 94.67, F_drag_cable=( 1.73,  0.29), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.90, L= 11.61, L_straight=  2.74, slack=  8.86, T_bat= 99.90, T_rov= 101.15, F_drag_cable=( 2.15,  0.44), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.00, L= 11.60, L_straight=  2.70, slack=  8.90, T_bat= 104.50, T_rov= 105.29, F_drag_cable=( 0.58,  0.08), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.10, L= 11.59, L_straight=  2.67, slack=  8.92, T_bat= 108.53, T_rov= 108.97, F_drag_cable=( 0.13, -0.01), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.20, L= 11.58, L_straight=  2.67, slack=  8.91, T_bat= 110.85, T_rov= 111.07, F_drag_cable=(-0.00, -0.16), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.30, L= 11.57, L_straight=  2.71, slack=  8.86, T_bat= 112.15, T_rov= 112.17, F_drag_cable=(-0.32, -0.22), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.40, L= 11.56, L_straight=  2.78, slack=  8.78, T_bat= 113.06, T_rov= 112.72, F_drag_cable=(-1.18, -0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.50, L= 11.55, L_straight=  2.87, slack=  8.68, T_bat= 113.89, T_rov= 112.97, F_drag_cable=(-2.16, -0.07), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.60, L= 11.54, L_straight=  2.98, slack=  8.56, T_bat= 114.99, T_rov= 113.52, F_drag_cable=(-2.70,  0.01), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.70, L= 11.53, L_straight=  3.02, slack=  8.51, T_bat= 114.71, T_rov= 113.82, F_drag_cable=(-0.41,  0.06), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.80, L= 11.52, L_straight=  3.03, slack=  8.49, T_bat= 114.40, T_rov= 113.95, F_drag_cable=(-0.00,  0.26), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.90, L= 11.51, L_straight=  2.99, slack=  8.52, T_bat= 114.09, T_rov= 114.00, F_drag_cable=( 0.31,  0.22), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.00, L= 11.50, L_straight=  2.92, slack=  8.58, T_bat= 113.63, T_rov= 113.95, F_drag_cable=( 1.14,  0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.10, L= 11.49, L_straight=  2.84, slack=  8.65, T_bat= 112.95, T_rov= 113.52, F_drag_cable=( 1.41, -0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.20, L= 11.48, L_straight=  2.80, slack=  8.68, T_bat= 112.69, T_rov= 113.15, F_drag_cable=( 0.51, -0.36), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.30, L= 11.47, L_straight=  2.78, slack=  8.69, T_bat= 112.45, T_rov= 112.69, F_drag_cable=( 0.03, -0.64), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.40, L= 11.46, L_straight=  2.79, slack=  8.67, T_bat= 111.94, T_rov= 112.05, F_drag_cable=(-0.01, -1.15), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.50, L= 11.45, L_straight=  2.83, slack=  8.62, T_bat= 101.21, T_rov= 101.12, F_drag_cable=(-0.41,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.60, L= 11.44, L_straight=  2.90, slack=  8.54, T_bat= 90.43, T_rov= 90.02, F_drag_cable=(-1.10,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.70, L= 11.43, L_straight=  2.96, slack=  8.47, T_bat= 82.02, T_rov= 81.44, F_drag_cable=(-0.98,  0.04), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.80, L= 11.42, L_straight=  2.99, slack=  8.43, T_bat= 73.54, T_rov= 73.19, F_drag_cable=(-0.18,  0.22), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.90, L= 11.41, L_straight=  2.99, slack=  8.42, T_bat= 73.26, T_rov= 73.08, F_drag_cable=( 0.00,  0.35), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.00, L= 11.40, L_straight=  2.96, slack=  8.43, T_bat= 76.25, T_rov= 76.21, F_drag_cable=( 0.15,  0.32), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.10, L= 11.39, L_straight=  2.92, slack=  8.47, T_bat= 83.55, T_rov= 83.70, F_drag_cable=( 0.49,  0.16), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.20, L= 11.38, L_straight=  2.86, slack=  8.52, T_bat= 87.98, T_rov= 88.33, F_drag_cable=( 0.85,  0.03), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.30, L= 11.37, L_straight=  2.80, slack=  8.57, T_bat= 90.88, T_rov= 91.30, F_drag_cable=( 0.74, -0.03), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.40, L= 11.36, L_straight=  2.76, slack=  8.60, T_bat= 92.91, T_rov= 93.25, F_drag_cable=( 0.42, -0.29), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.50, L= 11.35, L_straight=  2.71, slack=  8.64, T_bat= 94.43, T_rov= 94.76, F_drag_cable=( 0.61, -0.66), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.60, L= 11.34, L_straight=  2.63, slack=  8.71, T_bat= 94.20, T_rov= 94.82, F_drag_cable=( 1.31, -0.42), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.70, L= 11.33, L_straight=  2.58, slack=  8.75, T_bat= 85.34, T_rov= 85.89, F_drag_cable=( 0.68,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.80, L= 11.32, L_straight=  2.55, slack=  8.77, T_bat= 76.18, T_rov= 76.51, F_drag_cable=( 0.15,  0.19), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.90, L= 11.31, L_straight=  2.56, slack=  8.75, T_bat= 75.49, T_rov= 75.65, F_drag_cable=(-0.00,  0.38), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.00, L= 11.30, L_straight=  2.59, slack=  8.71, T_bat= 76.48, T_rov= 76.51, F_drag_cable=(-0.19,  0.30), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.10, L= 11.29, L_straight=  2.64, slack=  8.65, T_bat= 78.85, T_rov= 78.66, F_drag_cable=(-0.57,  0.14), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.20, L= 11.28, L_straight=  2.69, slack=  8.59, T_bat= 80.57, T_rov= 80.23, F_drag_cable=(-0.74,  0.01), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.30, L= 11.27, L_straight=  2.75, slack=  8.52, T_bat= 81.61, T_rov= 81.15, F_drag_cable=(-0.82, -0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.40, L= 11.26, L_straight=  2.81, slack=  8.45, T_bat= 82.05, T_rov= 81.58, F_drag_cable=(-0.69, -0.29), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.50, L= 11.25, L_straight=  2.87, slack=  8.38, T_bat= 82.11, T_rov= 81.50, F_drag_cable=(-1.06, -0.43), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.60, L= 11.24, L_straight=  2.95, slack=  8.29, T_bat= 81.61, T_rov= 80.68, F_drag_cable=(-1.51, -0.41), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.70, L= 11.23, L_straight=  2.99, slack=  8.24, T_bat= 73.27, T_rov= 72.70, F_drag_cable=(-0.34,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.80, L= 11.22, L_straight=  3.01, slack=  8.21, T_bat= 64.82, T_rov= 64.52, F_drag_cable=(-0.05, -0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.90, L= 11.21, L_straight=  3.00, slack=  8.21, T_bat= 57.11, T_rov= 56.97, F_drag_cable=( 0.01,  0.07), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.00, L= 11.20, L_straight=  2.97, slack=  8.23, T_bat= 52.23, T_rov= 52.21, F_drag_cable=( 0.15,  0.19), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.10, L= 11.19, L_straight=  2.94, slack=  8.25, T_bat= 55.97, T_rov= 56.06, F_drag_cable=( 0.33,  0.43), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.20, L= 11.18, L_straight=  2.89, slack=  8.29, T_bat= 59.21, T_rov= 59.49, F_drag_cable=( 0.60,  0.29), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.30, L= 11.17, L_straight=  2.83, slack=  8.34, T_bat= 62.51, T_rov= 62.93, F_drag_cable=( 0.81,  0.12), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.40, L= 11.16, L_straight=  2.79, slack=  8.37, T_bat= 64.87, T_rov= 65.19, F_drag_cable=( 0.36,  0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.50, L= 11.15, L_straight=  2.77, slack=  8.38, T_bat= 67.31, T_rov= 67.49, F_drag_cable=( 0.06,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.60, L= 11.14, L_straight=  2.77, slack=  8.37, T_bat= 69.37, T_rov= 69.47, F_drag_cable=( 0.00, -0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.70, L= 11.13, L_straight=  2.78, slack=  8.35, T_bat= 70.61, T_rov= 70.64, F_drag_cable=(-0.03, -0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.80, L= 11.12, L_straight=  2.81, slack=  8.31, T_bat= 71.41, T_rov= 71.34, F_drag_cable=(-0.22, -0.17), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.90, L= 11.11, L_straight=  2.86, slack=  8.25, T_bat= 72.33, T_rov= 72.14, F_drag_cable=(-0.55, -0.22), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 10.00, L= 11.10, L_straight=  2.92, slack=  8.18, T_bat= 73.26, T_rov= 72.85, F_drag_cable=(-0.99, -0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-25) T_bat=73.49433020021854 y=-0.03 x=2.95 L=11.09
IC_L_7: t= 10.10, L= 11.09, L_straight=  2.95, slack=  8.14, T_bat= 73.49, T_rov= 73.22, F_drag_cable=(-0.22, -0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 10.20, L= 11.08, L_straight=  2.97, slack=  8.11, T_bat= 73.44, T_rov= 73.28, F_drag_cable=(-0.08,  0.07), Fy_cmd=-25.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 10.30, L= 11.07, L_straight=  2.97, slack=  8.10, T_bat= 73.21, T_rov= 73.13, F_drag_cable=( 0.00,  0.34), Fy_cmd=-25.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 10.40, L= 11.06, L_straight=  2.94, slack=  8.12, T_bat= 72.87, T_rov= 72.89, F_drag_cable=( 0.18,  0.54), Fy_cmd=-25.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
