IC_L_7: t= 3.20, L= 403.00, L_straight= 401.78, slack=  1.22, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 403.00, L_straight= 401.81, slack=  1.19, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.40, L= 403.00, L_straight= 401.84, slack=  1.16, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 403.00, L_straight= 401.86, slack=  1.14, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 403.00, L_straight= 401.89, slack=  1.11, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 403.00, L_straight= 401.91, slack=  1.09, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 403.00, L_straight= 401.94, slack=  1.06, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 403.00, L_straight= 401.96, slack=  1.04, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 403.00, L_straight= 401.99, slack=  1.01, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 403.00, L_straight= 402.01, slack=  0.99, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.20, L= 403.00, L_straight= 402.04, slack=  0.96, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.30, L= 403.00, L_straight= 402.07, slack=  0.93, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.40, L= 403.00, L_straight= 402.09, slack=  0.91, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.50, L= 403.00, L_straight= 402.12, slack=  0.88, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.60, L= 403.00, L_straight= 402.14, slack=  0.86, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 403.00, L_straight= 402.17, slack=  0.83, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 403.00, L_straight= 402.19, slack=  0.81, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 403.00, L_straight= 402.22, slack=  0.78, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 403.00, L_straight= 402.24, slack=  0.76, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.10, L= 403.00, L_straight= 402.27, slack=  0.73, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 403.00, L_straight= 402.30, slack=  0.70, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.30, L= 403.00, L_straight= 402.32, slack=  0.68, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.40, L= 403.00, L_straight= 402.35, slack=  0.65, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.50, L= 403.00, L_straight= 402.37, slack=  0.63, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.60, L= 403.00, L_straight= 402.40, slack=  0.60, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.70, L= 403.00, L_straight= 402.42, slack=  0.58, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.80, L= 403.00, L_straight= 402.45, slack=  0.55, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.90, L= 403.00, L_straight= 402.48, slack=  0.52, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.00, L= 403.00, L_straight= 402.50, slack=  0.50, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.10, L= 403.00, L_straight= 402.53, slack=  0.47, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.20, L= 403.00, L_straight= 402.55, slack=  0.45, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.30, L= 403.00, L_straight= 402.58, slack=  0.42, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.40, L= 403.00, L_straight= 402.60, slack=  0.40, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.50, L= 403.00, L_straight= 402.63, slack=  0.37, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.60, L= 403.00, L_straight= 402.65, slack=  0.35, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.70, L= 403.00, L_straight= 402.68, slack=  0.32, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.80, L= 403.00, L_straight= 402.71, slack=  0.29, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.90, L= 403.00, L_straight= 402.73, slack=  0.27, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.00, L= 403.00, L_straight= 402.76, slack=  0.24, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.10, L= 403.00, L_straight= 402.78, slack=  0.22, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.20, L= 403.00, L_straight= 402.81, slack=  0.19, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.30, L= 403.00, L_straight= 402.83, slack=  0.17, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.40, L= 403.00, L_straight= 402.86, slack=  0.14, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.50, L= 403.00, L_straight= 402.89, slack=  0.11, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.60, L= 403.00, L_straight= 402.91, slack=  0.09, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.70, L= 403.00, L_straight= 402.94, slack=  0.06, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.80, L= 403.00, L_straight= 402.96, slack=  0.04, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.90, L= 403.00, L_straight= 402.99, slack=  0.01, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
