[SCEN] t=0.00 scen=Fy crit=(t<5:-5) T_bat=0.008337781180859672 y=-400.00 x=30.00 L=403.00
IC_L_7: t= 5.60, L= 407.12, L_straight= 402.76, slack=  4.36, T_bat= 9.28, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.75, ret=  0.82, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.70, L= 407.20, L_straight= 402.79, slack=  4.41, T_bat= 9.33, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.74, ret=  0.81, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.80, L= 407.28, L_straight= 402.82, slack=  4.46, T_bat= 9.36, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.74, ret=  0.80, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.90, L= 407.36, L_straight= 402.85, slack=  4.51, T_bat= 9.37, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.73, ret=  0.79, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.00, L= 407.44, L_straight= 402.89, slack=  4.56, T_bat= 9.37, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.72, ret=  0.79, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.10, L= 407.52, L_straight= 402.92, slack=  4.60, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.71, ret=  0.78, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.20, L= 407.60, L_straight= 402.95, slack=  4.65, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.71, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.30, L= 407.68, L_straight= 402.98, slack=  4.70, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.70, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.40, L= 407.75, L_straight= 403.01, slack=  4.74, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.69, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.50, L= 407.83, L_straight= 403.05, slack=  4.78, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.69, ret=  0.75, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.60, L= 407.91, L_straight= 403.08, slack=  4.83, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.68, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.70, L= 407.98, L_straight= 403.11, slack=  4.87, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.68, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.80, L= 408.05, L_straight= 403.14, slack=  4.91, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.67, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.90, L= 408.13, L_straight= 403.17, slack=  4.95, T_bat= 9.38, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.00, L= 408.20, L_straight= 403.21, slack=  4.99, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.10, L= 408.27, L_straight= 403.24, slack=  5.03, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.71, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.20, L= 408.34, L_straight= 403.27, slack=  5.07, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.71, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.30, L= 408.41, L_straight= 403.30, slack=  5.11, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.40, L= 408.48, L_straight= 403.33, slack=  5.15, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.50, L= 408.55, L_straight= 403.36, slack=  5.19, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.60, L= 408.62, L_straight= 403.40, slack=  5.22, T_bat= 9.39, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.70, L= 408.69, L_straight= 403.43, slack=  5.26, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.80, L= 408.76, L_straight= 403.46, slack=  5.30, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.90, L= 408.83, L_straight= 403.49, slack=  5.33, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.00, L= 408.89, L_straight= 403.52, slack=  5.37, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.10, L= 408.96, L_straight= 403.56, slack=  5.41, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.20, L= 409.03, L_straight= 403.59, slack=  5.44, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.30, L= 409.10, L_straight= 403.62, slack=  5.48, T_bat= 9.40, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.40, L= 409.16, L_straight= 403.65, slack=  5.51, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.50, L= 409.23, L_straight= 403.68, slack=  5.55, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.60, L= 409.30, L_straight= 403.72, slack=  5.58, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.70, L= 409.37, L_straight= 403.75, slack=  5.62, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.80, L= 409.43, L_straight= 403.78, slack=  5.65, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.90, L= 409.50, L_straight= 403.81, slack=  5.69, T_bat= 9.41, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.00, L= 409.57, L_straight= 403.84, slack=  5.72, T_bat= 9.42, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
