IC_L_7: t= 6.00, L= 448.27, L_straight= 402.47, slack= 45.80, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.10, L= 448.17, L_straight= 402.50, slack= 45.67, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.20, L= 448.07, L_straight= 402.53, slack= 45.55, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.30, L= 447.97, L_straight= 402.55, slack= 45.42, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.40, L= 447.87, L_straight= 402.58, slack= 45.30, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.50, L= 447.77, L_straight= 402.60, slack= 45.17, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.60, L= 447.67, L_straight= 402.63, slack= 45.05, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.70, L= 447.57, L_straight= 402.65, slack= 44.92, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.80, L= 447.47, L_straight= 402.68, slack= 44.80, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.90, L= 447.37, L_straight= 402.70, slack= 44.67, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.00, L= 447.27, L_straight= 402.73, slack= 44.55, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.10, L= 447.17, L_straight= 402.75, slack= 44.42, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.20, L= 447.07, L_straight= 402.78, slack= 44.30, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.30, L= 446.97, L_straight= 402.80, slack= 44.17, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.40, L= 446.87, L_straight= 402.83, slack= 44.05, T_bat= 6.69, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
