[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
IC_L_7: t= 5.60, L= 12.85, L_straight= 12.24, slack=  0.61, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.70, L= 12.87, L_straight= 12.28, slack=  0.59, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.80, L= 12.89, L_straight= 12.33, slack=  0.56, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.90, L= 12.91, L_straight= 12.37, slack=  0.54, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.00, L= 12.93, L_straight= 12.41, slack=  0.52, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.10, L= 12.95, L_straight= 12.45, slack=  0.50, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.21, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.20, L= 12.97, L_straight= 12.50, slack=  0.47, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.26, ret=  0.21, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.30, L= 12.99, L_straight= 12.54, slack=  0.45, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.31, ret=  0.22, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.40, L= 13.01, L_straight= 12.58, slack=  0.43, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.36, ret=  0.23, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.50, L= 13.04, L_straight= 12.62, slack=  0.41, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.41, ret=  0.25, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.60, L= 13.06, L_straight= 12.67, slack=  0.39, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.45, ret=  0.27, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.70, L= 13.09, L_straight= 12.71, slack=  0.38, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.49, ret=  0.29, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.80, L= 13.12, L_straight= 12.75, slack=  0.36, T_bat= 0.45, Fy_cmd= -5.00, desired=  0.52, ret=  0.32, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.90, L= 13.15, L_straight= 12.80, slack=  0.35, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.55, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.00, L= 13.18, L_straight= 12.84, slack=  0.34, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.57, ret=  0.36, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.10, L= 13.22, L_straight= 12.88, slack=  0.34, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.59, ret=  0.39, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.20, L= 13.26, L_straight= 12.92, slack=  0.33, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.60, ret=  0.41, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.30, L= 13.30, L_straight= 12.97, slack=  0.33, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.61, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.40, L= 13.34, L_straight= 13.01, slack=  0.33, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.61, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.50, L= 13.39, L_straight= 13.05, slack=  0.33, T_bat= 0.46, Fy_cmd= -5.00, desired=  0.60, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.60, L= 13.43, L_straight= 13.10, slack=  0.33, T_bat= 0.47, Fy_cmd= -5.00, desired=  0.60, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.70, L= 13.48, L_straight= 13.14, slack=  0.34, T_bat= 0.47, Fy_cmd= -5.00, desired=  0.59, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.80, L= 13.53, L_straight= 13.18, slack=  0.34, T_bat= 0.47, Fy_cmd= -5.00, desired=  0.57, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.90, L= 13.58, L_straight= 13.23, slack=  0.35, T_bat= 0.47, Fy_cmd= -5.00, desired=  0.56, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.00, L= 13.63, L_straight= 13.27, slack=  0.36, T_bat= 0.47, Fy_cmd= -5.00, desired=  0.54, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.10, L= 13.68, L_straight= 13.31, slack=  0.36, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.53, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.20, L= 13.73, L_straight= 13.36, slack=  0.37, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.51, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.30, L= 13.78, L_straight= 13.40, slack=  0.38, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.40, L= 13.83, L_straight= 13.44, slack=  0.39, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.47, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.50, L= 13.88, L_straight= 13.49, slack=  0.39, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.46, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.60, L= 13.93, L_straight= 13.53, slack=  0.40, T_bat= 0.48, Fy_cmd= -5.00, desired=  0.44, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.70, L= 13.98, L_straight= 13.57, slack=  0.40, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.43, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.80, L= 14.03, L_straight= 13.62, slack=  0.41, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.42, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.90, L= 14.08, L_straight= 13.66, slack=  0.41, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.41, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.00, L= 14.12, L_straight= 13.71, slack=  0.42, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.40, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.10, L= 14.17, L_straight= 13.75, slack=  0.42, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.39, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.20, L= 14.22, L_straight= 13.79, slack=  0.42, T_bat= 0.49, Fy_cmd= -5.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.30, L= 14.26, L_straight= 13.84, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.38, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.40, L= 14.30, L_straight= 13.88, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.38, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.50, L= 14.35, L_straight= 13.93, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.38, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.60, L= 14.39, L_straight= 13.97, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.70, L= 14.43, L_straight= 14.01, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.80, L= 14.48, L_straight= 14.06, slack=  0.42, T_bat= 0.50, Fy_cmd= -5.00, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.90, L= 14.52, L_straight= 14.10, slack=  0.42, T_bat= 0.51, Fy_cmd= -5.00, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.00, L= 14.56, L_straight= 14.15, slack=  0.42, T_bat= 0.51, Fy_cmd= -5.00, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-10) T_bat=0.5083475057429097 y=-13.13 x=5.39 L=14.60
IC_L_7: t= 10.10, L= 14.60, L_straight= 14.19, slack=  0.41, T_bat= 0.51, Fy_cmd= -5.00, desired=  0.41, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.20, L= 14.64, L_straight= 14.23, slack=  0.41, T_bat= 0.52, Fy_cmd=-10.00, desired=  0.42, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.30, L= 14.69, L_straight= 14.28, slack=  0.41, T_bat= 0.54, Fy_cmd=-10.00, desired=  0.43, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.40, L= 14.73, L_straight= 14.33, slack=  0.40, T_bat= 0.55, Fy_cmd=-10.00, desired=  0.44, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.50, L= 14.77, L_straight= 14.37, slack=  0.39, T_bat= 0.56, Fy_cmd=-10.00, desired=  0.45, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.60, L= 14.81, L_straight= 14.42, slack=  0.39, T_bat= 0.57, Fy_cmd=-10.00, desired=  0.47, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.70, L= 14.85, L_straight= 14.47, slack=  0.38, T_bat= 0.58, Fy_cmd=-10.00, desired=  0.48, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.80, L= 14.90, L_straight= 14.52, slack=  0.38, T_bat= 0.58, Fy_cmd=-10.00, desired=  0.49, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.90, L= 14.94, L_straight= 14.57, slack=  0.37, T_bat= 0.59, Fy_cmd=-10.00, desired=  0.51, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.00, L= 14.99, L_straight= 14.62, slack=  0.37, T_bat= 0.59, Fy_cmd=-10.00, desired=  0.52, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.10, L= 15.03, L_straight= 14.67, slack=  0.36, T_bat= 0.60, Fy_cmd=-10.00, desired=  0.53, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.20, L= 15.08, L_straight= 14.72, slack=  0.36, T_bat= 0.60, Fy_cmd=-10.00, desired=  0.53, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.30, L= 15.12, L_straight= 14.77, slack=  0.36, T_bat= 0.60, Fy_cmd=-10.00, desired=  0.54, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.40, L= 15.17, L_straight= 14.82, slack=  0.36, T_bat= 0.60, Fy_cmd=-10.00, desired=  0.55, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.50, L= 15.22, L_straight= 14.86, slack=  0.35, T_bat= 0.61, Fy_cmd=-10.00, desired=  0.55, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
