t: 0.00, HISTORY < 2  -> retourne 0.00
[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.017059615106891583 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.017059615106891583 p=-10.00 L=12.00
MAIN: t=7.50, L= 11.64, est_dT_dL=   0.02, y_rov=-10.95, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1= -235.17, ret2=-47.83, ret= -1.00
MAIN: t=7.60, L= 11.54, est_dT_dL=   0.02, y_rov=-10.85, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -280.69, ret2=-56.94, ret= -1.00
MAIN: t=7.70, L= 11.44, est_dT_dL=   0.01, y_rov=-10.74, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -322.62, ret2=-65.32, ret= -1.00
MAIN: t=7.80, L= 11.34, est_dT_dL=   0.01, y_rov=-10.64, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -357.50, ret2=-72.30, ret= -1.00
MAIN: t=7.90, L= 11.24, est_dT_dL=   0.01, y_rov=-10.54, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -369.20, ret2=-74.64, ret= -1.00
MAIN: t=8.00, L= 11.14, est_dT_dL=   0.01, y_rov=-10.44, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -389.50, ret2=-78.70, ret= -1.00
MAIN: t=8.10, L= 11.04, est_dT_dL=   0.01, y_rov=-10.34, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -410.30, ret2=-82.86, ret= -1.00
MAIN: t=8.20, L= 10.94, est_dT_dL=   0.01, y_rov=-10.24, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -430.40, ret2=-86.88, ret= -1.00
MAIN: t=8.30, L= 10.84, est_dT_dL=   0.01, y_rov=-10.14, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -449.62, ret2=-90.72, ret= -1.00
MAIN: t=8.40, L= 10.74, est_dT_dL=   0.01, y_rov=-10.04, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -467.99, ret2=-94.40, ret= -1.00
MAIN: t=8.50, L= 10.64, est_dT_dL=   0.01, y_rov= -9.94, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -485.52, ret2=-97.90, ret= -1.00
MAIN: t=8.60, L= 10.54, est_dT_dL=   0.01, y_rov= -9.84, vy_rov=  1.01, Vy_lim= -0.14, T= 10.03, Tcible= 25.00, ret1= -502.29, ret2=-101.26, ret= -1.00
