[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 4.40, L= 11.21, L_straight= 10.16, slack=  1.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.50, L= 11.23, L_straight= 10.17, slack=  1.06, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.60, L= 11.25, L_straight= 10.18, slack=  1.08, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.70, L= 11.28, L_straight= 10.18, slack=  1.09, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.80, L= 11.30, L_straight= 10.19, slack=  1.11, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.90, L= 11.32, L_straight= 10.20, slack=  1.12, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.00, L= 11.34, L_straight= 10.20, slack=  1.14, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
[SCEN] t=5.10 scen=Fy crit=(t>5:-29) T_bat=0.5013834161794483 y=-10.21 x=0.00 L=11.36
IC_L_7: t= 5.10, L= 11.36, L_straight= 10.21, slack=  1.15, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.20, L= 11.38, L_straight= 10.22, slack=  1.16, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.02), Fy_cmd=-29.00, desired=  0.25, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.30, L= 11.40, L_straight= 10.23, slack=  1.17, T_bat= 0.51, T_rov= 0.50, F_drag_cable=( 0.00,  0.06), Fy_cmd=-29.00, desired=  0.30, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.40, L= 11.42, L_straight= 10.26, slack=  1.17, T_bat= 0.51, T_rov= 0.50, F_drag_cable=( 0.00,  0.10), Fy_cmd=-29.00, desired=  0.34, ret=  0.24, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.50, L= 11.45, L_straight= 10.28, slack=  1.17, T_bat= 0.52, T_rov= 0.50, F_drag_cable=( 0.00,  0.15), Fy_cmd=-29.00, desired=  0.39, ret=  0.25, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.60, L= 11.47, L_straight= 10.31, slack=  1.17, T_bat= 0.52, T_rov= 0.50, F_drag_cable=( 0.00,  0.19), Fy_cmd=-29.00, desired=  0.43, ret=  0.27, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.70, L= 11.50, L_straight= 10.34, slack=  1.16, T_bat= 0.53, T_rov= 0.50, F_drag_cable=( 0.00,  0.23), Fy_cmd=-29.00, desired=  0.47, ret=  0.29, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.80, L= 11.53, L_straight= 10.37, slack=  1.16, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.26), Fy_cmd=-29.00, desired=  0.50, ret=  0.31, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 5.90, L= 11.56, L_straight= 10.41, slack=  1.15, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.29), Fy_cmd=-29.00, desired=  0.53, ret=  0.33, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 6.00, L= 11.59, L_straight= 10.44, slack=  1.15, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.31), Fy_cmd=-29.00, desired=  0.55, ret=  0.35, exp=PILOT_DESC_MINPAY_ACC
