[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 3.50, L= 9.60, L_straight=  9.24, slack=  0.36, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.30, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.60, L= 9.57, L_straight=  9.22, slack=  0.35, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.26, ret= -0.34, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.70, L= 9.53, L_straight=  9.19, slack=  0.34, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.23, ret= -0.33, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.80, L= 9.50, L_straight=  9.17, slack=  0.33, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.20, ret= -0.32, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.90, L= 9.47, L_straight=  9.14, slack=  0.32, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.18, ret= -0.31, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.00, L= 9.44, L_straight=  9.12, slack=  0.32, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.16, ret= -0.29, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.10, L= 9.41, L_straight=  9.10, slack=  0.31, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.13, -0.14), Fy_cmd=  0.00, desired= -0.14, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.20, L= 9.38, L_straight=  9.07, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.13, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.30, L= 9.35, L_straight=  9.05, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.13, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.40, L= 9.33, L_straight=  9.02, slack=  0.31, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.12, ret= -0.24, exp=PILOT_ASC_REMOVE_SLACK_ACC
