[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=5.60, T=21.29, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.60, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.70, T=21.26, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.55, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.80, T=21.22, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.50, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.90, T=21.18, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.47, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.00, T=21.14, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.43, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.10, T=21.11, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.41, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.20, T=21.07, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-21.43, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.30, T=21.03, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-21.48, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.40, T=21.00, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-21.54, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.50, T=20.96, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-21.62, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.60, T=20.93, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-21.74, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.70, T=20.89, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-21.90, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.80, T=20.86, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-22.15, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=6.90, T=20.83, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.35, desired=-22.54, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=7.00, T=20.80, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.34, desired=-23.18, ret= -1.00, exp=REG_T_ACC
