[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 2.60, y_rov=-100.52, vy_rov=-0.26, L= 109.93, dl_dt_cmd=-0.04, prev_cmd=-0.04, T_bat= 2.84, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.11, ret=-0.04, exp=REG_T_ACC
IC_L_6: t= 2.70, y_rov=-100.54, vy_rov=-0.26, L= 109.93, dl_dt_cmd=-0.04, prev_cmd=-0.04, T_bat= 2.84, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.09, ret=-0.05, exp=REG_T_ACC
IC_L_6: t= 2.80, y_rov=-100.57, vy_rov=-0.26, L= 109.92, dl_dt_cmd=-0.05, prev_cmd=-0.05, T_bat= 2.85, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.07, ret=-0.06, exp=REG_T_ACC
IC_L_6: t= 2.90, y_rov=-100.60, vy_rov=-0.26, L= 109.92, dl_dt_cmd=-0.06, prev_cmd=-0.06, T_bat= 2.85, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.06, ret=-0.08, exp=REG_T_ACC
IC_L_6: t= 3.00, y_rov=-100.62, vy_rov=-0.26, L= 109.91, dl_dt_cmd=-0.08, prev_cmd=-0.08, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.04, ret=-0.11, exp=REG_T_ACC
IC_L_6: t= 3.10, y_rov=-100.65, vy_rov=-0.26, L= 109.90, dl_dt_cmd=-0.11, prev_cmd=-0.11, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.04, ret=-0.15, exp=REG_T_ACC
IC_L_6: t= 3.20, y_rov=-100.68, vy_rov=-0.26, L= 109.88, dl_dt_cmd=-0.15, prev_cmd=-0.15, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.03, ret=-0.20, exp=REG_T_ACC
IC_L_6: t= 3.30, y_rov=-100.70, vy_rov=-0.26, L= 109.86, dl_dt_cmd=-0.20, prev_cmd=-0.20, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.02, ret=-0.25, exp=REG_T_ACC
IC_L_6: t= 3.40, y_rov=-100.73, vy_rov=-0.26, L= 109.84, dl_dt_cmd=-0.25, prev_cmd=-0.25, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.02, ret=-0.30, exp=REG_T_ACC
IC_L_6: t= 3.50, y_rov=-100.75, vy_rov=-0.26, L= 109.81, dl_dt_cmd=-0.30, prev_cmd=-0.30, T_bat= 2.86, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01, ret=-0.35, exp=REG_T_ACC
