[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 4.90, L= 110.76, L_straight= 105.06, slack=  5.70, T_bat= 10.02, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.00, L= 110.78, L_straight= 105.13, slack=  5.65, T_bat= 10.02, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.10, L= 110.80, L_straight= 105.20, slack=  5.60, T_bat= 10.03, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.20, L= 110.82, L_straight= 105.27, slack=  5.55, T_bat= 10.03, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.30, L= 110.84, L_straight= 105.33, slack=  5.51, T_bat= 10.03, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.40, L= 110.86, L_straight= 105.40, slack=  5.46, T_bat= 10.03, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.50, L= 110.88, L_straight= 105.47, slack=  5.41, T_bat= 10.03, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.60, L= 110.90, L_straight= 105.54, slack=  5.36, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.70, L= 110.92, L_straight= 105.61, slack=  5.31, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.80, L= 110.94, L_straight= 105.68, slack=  5.27, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.90, L= 110.96, L_straight= 105.74, slack=  5.22, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.00, L= 110.98, L_straight= 105.81, slack=  5.17, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.10, L= 111.00, L_straight= 105.88, slack=  5.12, T_bat= 10.04, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.20, L= 111.02, L_straight= 105.95, slack=  5.07, T_bat= 10.05, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.30, L= 111.04, L_straight= 106.02, slack=  5.02, T_bat= 10.05, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.40, L= 111.06, L_straight= 106.08, slack=  4.98, T_bat= 10.05, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.50, L= 111.08, L_straight= 106.15, slack=  4.93, T_bat= 10.05, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.60, L= 111.10, L_straight= 106.22, slack=  4.88, T_bat= 10.05, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.70, L= 111.12, L_straight= 106.29, slack=  4.83, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.80, L= 111.14, L_straight= 106.36, slack=  4.78, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.90, L= 111.16, L_straight= 106.42, slack=  4.74, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.00, L= 111.18, L_straight= 106.49, slack=  4.69, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.10, L= 111.20, L_straight= 106.56, slack=  4.64, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.20, L= 111.22, L_straight= 106.63, slack=  4.59, T_bat= 10.06, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.30, L= 111.24, L_straight= 106.70, slack=  4.54, T_bat= 10.07, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.40, L= 111.26, L_straight= 106.77, slack=  4.49, T_bat= 10.07, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 7.50, L= 111.28, L_straight= 106.83, slack=  4.45, T_bat= 10.07, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
