[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_6: t= 4.20, y_rov=-102.61, vy_rov=-0.67, gy_rov= 0.00, L= 111.18, dl_dt_cmd= 0.39, prev_cmd= 0.39, T_bat= 10.06, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.39, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.30, y_rov=-102.68, vy_rov=-0.67, gy_rov= 0.00, L= 111.22, dl_dt_cmd= 0.39, prev_cmd= 0.39, T_bat= 10.06, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.39, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.40, y_rov=-102.75, vy_rov=-0.67, gy_rov= 0.00, L= 111.26, dl_dt_cmd= 0.39, prev_cmd= 0.39, T_bat= 10.07, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.39, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.50, y_rov=-102.81, vy_rov=-0.67, gy_rov= 0.00, L= 111.29, dl_dt_cmd= 0.39, prev_cmd= 0.39, T_bat= 10.07, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.60, y_rov=-102.88, vy_rov=-0.67, gy_rov= 0.00, L= 111.33, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.07, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.70, y_rov=-102.95, vy_rov=-0.67, gy_rov= 0.00, L= 111.37, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.08, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.80, y_rov=-103.02, vy_rov=-0.67, gy_rov= 0.00, L= 111.41, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.08, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 4.90, y_rov=-103.08, vy_rov=-0.67, gy_rov= 0.00, L= 111.45, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.08, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.00, y_rov=-103.15, vy_rov=-0.67, gy_rov= 0.00, L= 111.49, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.09, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 5.10, y_rov=-103.22, vy_rov=-0.67, gy_rov= 0.00, L= 111.53, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.09, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
