IC_L_7: t= 8.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.30, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.40, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.50, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.70, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.90, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.00, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.10, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.30, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.40, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.50, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.70, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 9.90, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 10.00, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-25) T_bat=10.022947636233232 y=-10.44 x=4.95 L=11.55
IC_L_7: t= 10.10, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 10.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  1.00, ret=  0.05, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.30, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.20, Fy= 9.02, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.40, L= 11.56, L_straight= 11.56, slack=  0.01, T_bat= 9.84, Fy= 9.02, desired=  1.00, ret=  0.15, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.50, L= 11.58, L_straight= 11.58, slack=  0.00, T_bat= 0.00, Fy= 0.00, desired=  1.00, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.60, L= 11.60, L_straight= 11.60, slack=  0.00, T_bat= 20.49, Fy= 18.05, desired=  1.00, ret=  0.25, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.70, L= 11.62, L_straight= 11.62, slack=  0.00, T_bat= 0.21, Fy= 0.00, desired=  1.00, ret=  0.30, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.80, L= 11.65, L_straight= 11.65, slack=  0.00, T_bat= 20.42, Fy= 18.08, desired=  1.00, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.90, L= 11.69, L_straight= 11.69, slack=  0.00, T_bat= 0.40, Fy= 0.00, desired=  1.00, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.00, L= 11.73, L_straight= 11.72, slack=  0.01, T_bat= 20.30, Fy= 18.11, desired=  1.00, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.10, L= 11.77, L_straight= 11.76, slack=  0.01, T_bat= 0.00, Fy= 0.00, desired=  1.00, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.20, L= 11.82, L_straight= 11.79, slack=  0.03, T_bat= 0.94, Fy= 0.16, desired=  1.00, ret=  0.55, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.30, L= 11.88, L_straight= 11.83, slack=  0.05, T_bat= 0.10, Fy= 0.00, desired=  1.00, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.40, L= 11.94, L_straight= 11.87, slack=  0.07, T_bat= 1.03, Fy= 0.07, desired=  1.00, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.50, L= 12.00, L_straight= 11.91, slack=  0.09, T_bat= 0.15, Fy= 0.00, desired=  1.00, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.60, L= 12.07, L_straight= 11.95, slack=  0.12, T_bat= 1.06, Fy= 0.05, desired=  1.00, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.70, L= 12.14, L_straight= 11.99, slack=  0.15, T_bat= 0.18, Fy= 0.00, desired=  1.00, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.80, L= 12.21, L_straight= 12.04, slack=  0.18, T_bat= 1.08, Fy= 0.03, desired=  0.97, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
