[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 5.20, y_rov=-103.29, vy_rov=-0.67, gy_rov= 0.00, L= 108.86, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.44, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.30, y_rov=-103.35, vy_rov=-0.67, gy_rov= 0.00, L= 108.76, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.40, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.40, y_rov=-103.42, vy_rov=-0.67, gy_rov= 0.00, L= 108.66, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.36, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.50, y_rov=-103.49, vy_rov=-0.67, gy_rov= 0.00, L= 108.56, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.32, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.60, y_rov=-103.55, vy_rov=-0.67, gy_rov= 0.00, L= 108.46, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.28, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.70, y_rov=-103.62, vy_rov=-0.67, gy_rov= 0.00, L= 108.36, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.24, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.80, y_rov=-103.69, vy_rov=-0.67, gy_rov= 0.00, L= 108.26, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.21, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 5.90, y_rov=-103.76, vy_rov=-0.67, gy_rov= 0.00, L= 108.16, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.17, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.00, y_rov=-103.82, vy_rov=-0.67, gy_rov= 0.00, L= 108.06, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.13, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 6.10, y_rov=-103.89, vy_rov=-0.67, gy_rov= 0.00, L= 107.96, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.09, Fy_tr= 0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
