[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 0.10, L= 110.00, L_straight= 101.98, slack=  8.02, T_bat= 0.40, Fy=-0.01, desired=  0.00, ret=  0.00, exp=CATENARY_HOLD_ACC
IC_L_7: t= 38.90, L= 129.78, L_straight= 128.27, slack=  1.52, T_bat= 11.76, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.00, L= 129.85, L_straight= 128.33, slack=  1.52, T_bat= 11.77, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.10, L= 129.92, L_straight= 128.40, slack=  1.52, T_bat= 11.78, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.20, L= 129.99, L_straight= 128.47, slack=  1.52, T_bat= 11.78, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.30, L= 130.06, L_straight= 128.54, slack=  1.52, T_bat= 11.79, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.40, L= 130.13, L_straight= 128.61, slack=  1.52, T_bat= 11.80, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.50, L= 130.20, L_straight= 128.67, slack=  1.52, T_bat= 11.80, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.60, L= 130.27, L_straight= 128.74, slack=  1.52, T_bat= 11.81, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.70, L= 130.33, L_straight= 128.81, slack=  1.52, T_bat= 11.81, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.80, L= 130.40, L_straight= 128.88, slack=  1.52, T_bat= 11.82, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 39.90, L= 130.47, L_straight= 128.95, slack=  1.52, T_bat= 11.83, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.00, L= 130.54, L_straight= 129.02, slack=  1.53, T_bat= 11.83, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.10, L= 130.61, L_straight= 129.08, slack=  1.53, T_bat= 11.84, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.20, L= 130.68, L_straight= 129.15, slack=  1.53, T_bat= 11.85, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.30, L= 130.75, L_straight= 129.22, slack=  1.53, T_bat= 11.85, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.40, L= 130.82, L_straight= 129.29, slack=  1.53, T_bat= 11.86, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.50, L= 130.89, L_straight= 129.36, slack=  1.53, T_bat= 11.86, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.60, L= 130.96, L_straight= 129.43, slack=  1.53, T_bat= 11.87, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.70, L= 131.03, L_straight= 129.49, slack=  1.53, T_bat= 11.88, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.80, L= 131.09, L_straight= 129.56, slack=  1.53, T_bat= 11.88, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 40.90, L= 131.16, L_straight= 129.63, slack=  1.53, T_bat= 11.89, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.00, L= 131.23, L_straight= 129.70, slack=  1.53, T_bat= 11.90, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.10, L= 131.30, L_straight= 129.77, slack=  1.53, T_bat= 11.90, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.20, L= 131.37, L_straight= 129.84, slack=  1.54, T_bat= 11.91, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.30, L= 131.44, L_straight= 129.90, slack=  1.54, T_bat= 11.91, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.40, L= 131.51, L_straight= 129.97, slack=  1.54, T_bat= 11.92, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.50, L= 131.58, L_straight= 130.04, slack=  1.54, T_bat= 11.93, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.60, L= 131.65, L_straight= 130.11, slack=  1.54, T_bat= 11.93, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.70, L= 131.72, L_straight= 130.18, slack=  1.54, T_bat= 11.94, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.80, L= 131.78, L_straight= 130.24, slack=  1.54, T_bat= 11.95, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 41.90, L= 131.85, L_straight= 130.31, slack=  1.54, T_bat= 11.95, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.00, L= 131.92, L_straight= 130.38, slack=  1.54, T_bat= 11.96, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.10, L= 131.99, L_straight= 130.45, slack=  1.54, T_bat= 11.96, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.20, L= 132.06, L_straight= 130.52, slack=  1.54, T_bat= 11.97, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.30, L= 132.13, L_straight= 130.59, slack=  1.54, T_bat= 11.98, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.40, L= 132.20, L_straight= 130.65, slack=  1.54, T_bat= 11.98, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.50, L= 132.27, L_straight= 130.72, slack=  1.55, T_bat= 11.99, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.60, L= 132.34, L_straight= 130.79, slack=  1.55, T_bat= 12.00, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.70, L= 132.41, L_straight= 130.86, slack=  1.55, T_bat= 12.00, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.80, L= 132.48, L_straight= 130.93, slack=  1.55, T_bat= 12.01, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 42.90, L= 132.54, L_straight= 131.00, slack=  1.55, T_bat= 12.01, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.00, L= 132.61, L_straight= 131.06, slack=  1.55, T_bat= 12.02, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.10, L= 132.68, L_straight= 131.13, slack=  1.55, T_bat= 12.03, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.20, L= 132.75, L_straight= 131.20, slack=  1.55, T_bat= 12.03, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.30, L= 132.82, L_straight= 131.27, slack=  1.55, T_bat= 12.04, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.40, L= 132.89, L_straight= 131.34, slack=  1.55, T_bat= 12.05, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.50, L= 132.96, L_straight= 131.40, slack=  1.55, T_bat= 12.05, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.60, L= 133.03, L_straight= 131.47, slack=  1.55, T_bat= 12.06, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.70, L= 133.10, L_straight= 131.54, slack=  1.56, T_bat= 12.06, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.80, L= 133.17, L_straight= 131.61, slack=  1.56, T_bat= 12.07, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 43.90, L= 133.23, L_straight= 131.68, slack=  1.56, T_bat= 12.08, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.00, L= 133.30, L_straight= 131.75, slack=  1.56, T_bat= 12.08, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.10, L= 133.37, L_straight= 131.81, slack=  1.56, T_bat= 12.09, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.20, L= 133.44, L_straight= 131.88, slack=  1.56, T_bat= 12.10, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.30, L= 133.51, L_straight= 131.95, slack=  1.56, T_bat= 12.10, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.40, L= 133.58, L_straight= 132.02, slack=  1.56, T_bat= 12.11, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.50, L= 133.65, L_straight= 132.09, slack=  1.56, T_bat= 12.11, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.60, L= 133.72, L_straight= 132.16, slack=  1.56, T_bat= 12.12, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.70, L= 133.79, L_straight= 132.22, slack=  1.56, T_bat= 12.13, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.80, L= 133.86, L_straight= 132.29, slack=  1.56, T_bat= 12.13, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 44.90, L= 133.93, L_straight= 132.36, slack=  1.57, T_bat= 12.14, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.00, L= 133.99, L_straight= 132.43, slack=  1.57, T_bat= 12.15, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.10, L= 134.06, L_straight= 132.50, slack=  1.57, T_bat= 12.15, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.20, L= 134.13, L_straight= 132.57, slack=  1.57, T_bat= 12.16, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.30, L= 134.20, L_straight= 132.63, slack=  1.57, T_bat= 12.16, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.40, L= 134.27, L_straight= 132.70, slack=  1.57, T_bat= 12.17, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.50, L= 134.34, L_straight= 132.77, slack=  1.57, T_bat= 12.18, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.60, L= 134.41, L_straight= 132.84, slack=  1.57, T_bat= 12.18, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.70, L= 134.48, L_straight= 132.91, slack=  1.57, T_bat= 12.19, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.80, L= 134.55, L_straight= 132.97, slack=  1.57, T_bat= 12.20, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 45.90, L= 134.62, L_straight= 133.04, slack=  1.57, T_bat= 12.20, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.00, L= 134.69, L_straight= 133.11, slack=  1.57, T_bat= 12.21, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.10, L= 134.75, L_straight= 133.18, slack=  1.57, T_bat= 12.21, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.20, L= 134.82, L_straight= 133.25, slack=  1.58, T_bat= 12.22, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.30, L= 134.89, L_straight= 133.32, slack=  1.58, T_bat= 12.23, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.40, L= 134.96, L_straight= 133.38, slack=  1.58, T_bat= 12.23, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.50, L= 135.03, L_straight= 133.45, slack=  1.58, T_bat= 12.24, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.60, L= 135.10, L_straight= 133.52, slack=  1.58, T_bat= 12.25, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.70, L= 135.17, L_straight= 133.59, slack=  1.58, T_bat= 12.25, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.80, L= 135.24, L_straight= 133.66, slack=  1.58, T_bat= 12.26, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 46.90, L= 135.31, L_straight= 133.73, slack=  1.58, T_bat= 12.26, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.00, L= 135.38, L_straight= 133.79, slack=  1.58, T_bat= 12.27, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.10, L= 135.44, L_straight= 133.86, slack=  1.58, T_bat= 12.28, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.20, L= 135.51, L_straight= 133.93, slack=  1.58, T_bat= 12.28, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.30, L= 135.58, L_straight= 134.00, slack=  1.58, T_bat= 12.29, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.40, L= 135.65, L_straight= 134.07, slack=  1.59, T_bat= 12.30, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.50, L= 135.72, L_straight= 134.13, slack=  1.59, T_bat= 12.30, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.60, L= 135.79, L_straight= 134.20, slack=  1.59, T_bat= 12.31, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.70, L= 135.86, L_straight= 134.27, slack=  1.59, T_bat= 12.31, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.80, L= 135.93, L_straight= 134.34, slack=  1.59, T_bat= 12.32, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 47.90, L= 136.00, L_straight= 134.41, slack=  1.59, T_bat= 12.33, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.00, L= 136.07, L_straight= 134.48, slack=  1.59, T_bat= 12.33, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.10, L= 136.14, L_straight= 134.54, slack=  1.59, T_bat= 12.34, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.20, L= 136.20, L_straight= 134.61, slack=  1.59, T_bat= 12.35, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.30, L= 136.27, L_straight= 134.68, slack=  1.59, T_bat= 12.35, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.40, L= 136.34, L_straight= 134.75, slack=  1.59, T_bat= 12.36, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.50, L= 136.41, L_straight= 134.82, slack=  1.59, T_bat= 12.36, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.60, L= 136.48, L_straight= 134.89, slack=  1.59, T_bat= 12.37, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.70, L= 136.55, L_straight= 134.95, slack=  1.60, T_bat= 12.38, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.80, L= 136.62, L_straight= 135.02, slack=  1.60, T_bat= 12.38, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 48.90, L= 136.69, L_straight= 135.09, slack=  1.60, T_bat= 12.39, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.00, L= 136.76, L_straight= 135.16, slack=  1.60, T_bat= 12.40, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.10, L= 136.83, L_straight= 135.23, slack=  1.60, T_bat= 12.40, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.20, L= 136.89, L_straight= 135.30, slack=  1.60, T_bat= 12.41, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.30, L= 136.96, L_straight= 135.36, slack=  1.60, T_bat= 12.41, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.40, L= 137.03, L_straight= 135.43, slack=  1.60, T_bat= 12.42, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.50, L= 137.10, L_straight= 135.50, slack=  1.60, T_bat= 12.43, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.60, L= 137.17, L_straight= 135.57, slack=  1.60, T_bat= 12.43, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.70, L= 137.24, L_straight= 135.64, slack=  1.60, T_bat= 12.44, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.80, L= 137.31, L_straight= 135.70, slack=  1.60, T_bat= 12.45, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 49.90, L= 137.38, L_straight= 135.77, slack=  1.61, T_bat= 12.45, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.00, L= 137.45, L_straight= 135.84, slack=  1.61, T_bat= 12.46, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.10, L= 137.52, L_straight= 135.91, slack=  1.61, T_bat= 12.46, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.20, L= 137.59, L_straight= 135.98, slack=  1.61, T_bat= 12.47, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.30, L= 137.65, L_straight= 136.05, slack=  1.61, T_bat= 12.48, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.40, L= 137.72, L_straight= 136.11, slack=  1.61, T_bat= 12.48, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.50, L= 137.79, L_straight= 136.18, slack=  1.61, T_bat= 12.49, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.60, L= 137.86, L_straight= 136.25, slack=  1.61, T_bat= 12.50, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.70, L= 137.93, L_straight= 136.32, slack=  1.61, T_bat= 12.50, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.80, L= 138.00, L_straight= 136.39, slack=  1.61, T_bat= 12.51, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 50.90, L= 138.07, L_straight= 136.46, slack=  1.61, T_bat= 12.51, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.00, L= 138.14, L_straight= 136.52, slack=  1.61, T_bat= 12.52, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.10, L= 138.21, L_straight= 136.59, slack=  1.62, T_bat= 12.53, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.20, L= 138.28, L_straight= 136.66, slack=  1.62, T_bat= 12.53, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.30, L= 138.35, L_straight= 136.73, slack=  1.62, T_bat= 12.54, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.40, L= 138.41, L_straight= 136.80, slack=  1.62, T_bat= 12.55, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.50, L= 138.48, L_straight= 136.86, slack=  1.62, T_bat= 12.55, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.60, L= 138.55, L_straight= 136.93, slack=  1.62, T_bat= 12.56, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.70, L= 138.62, L_straight= 137.00, slack=  1.62, T_bat= 12.56, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.80, L= 138.69, L_straight= 137.07, slack=  1.62, T_bat= 12.57, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 51.90, L= 138.76, L_straight= 137.14, slack=  1.62, T_bat= 12.58, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.00, L= 138.83, L_straight= 137.21, slack=  1.62, T_bat= 12.58, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.10, L= 138.90, L_straight= 137.27, slack=  1.62, T_bat= 12.59, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.20, L= 138.97, L_straight= 137.34, slack=  1.62, T_bat= 12.60, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.30, L= 139.04, L_straight= 137.41, slack=  1.62, T_bat= 12.60, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.40, L= 139.10, L_straight= 137.48, slack=  1.63, T_bat= 12.61, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.50, L= 139.17, L_straight= 137.55, slack=  1.63, T_bat= 12.61, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.60, L= 139.24, L_straight= 137.62, slack=  1.63, T_bat= 12.62, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 52.70, L= 139.31, L_straight= 137.68, slack=  1.63, T_bat= 12.63, Fy= 0.04, desired=  0.69, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
