[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=6.10, L= 107.96, est_dT_dL=   0.39, y_rov=-103.89, vy_rov= -0.67, T=21.09, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.74, exp=REG_T_ACC
AUTO_L_6: t=6.20, L= 107.86, est_dT_dL=   0.39, y_rov=-103.96, vy_rov= -0.67, T=21.05, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.75, exp=REG_T_ACC
AUTO_L_6: t=6.30, L= 107.76, est_dT_dL=   0.39, y_rov=-104.03, vy_rov= -0.67, T=21.01, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.78, exp=REG_T_ACC
AUTO_L_6: t=6.40, L= 107.66, est_dT_dL=   0.38, y_rov=-104.09, vy_rov= -0.67, T=20.98, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.82, exp=REG_T_ACC
AUTO_L_6: t=6.50, L= 107.56, est_dT_dL=   0.38, y_rov=-104.16, vy_rov= -0.67, T=20.94, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.89, exp=REG_T_ACC
AUTO_L_6: t=6.60, L= 107.46, est_dT_dL=   0.38, y_rov=-104.23, vy_rov= -0.67, T=20.90, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.98, exp=REG_T_ACC
AUTO_L_6: t=6.70, L= 107.36, est_dT_dL=   0.38, y_rov=-104.29, vy_rov= -0.67, T=20.87, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.11, exp=REG_T_ACC
AUTO_L_6: t=6.80, L= 107.26, est_dT_dL=   0.37, y_rov=-104.36, vy_rov= -0.67, T=20.83, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.31, exp=REG_T_ACC
AUTO_L_6: t=6.90, L= 107.16, est_dT_dL=   0.37, y_rov=-104.43, vy_rov= -0.67, T=20.80, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.61, exp=REG_T_ACC
AUTO_L_6: t=7.00, L= 107.06, est_dT_dL=   0.36, y_rov=-104.50, vy_rov= -0.67, T=20.77, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-22.08, exp=REG_T_ACC
AUTO_L_6: t=7.10, L= 106.96, est_dT_dL=   0.34, y_rov=-104.56, vy_rov= -0.67, T=20.75, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-22.91, exp=REG_T_ACC
AUTO_L_6: t=7.20, L= 106.86, est_dT_dL=   0.32, y_rov=-104.63, vy_rov= -0.67, T=20.73, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-24.62, exp=REG_T_ACC
AUTO_L_6: t=7.30, L= 106.76, est_dT_dL=   0.26, y_rov=-104.70, vy_rov= -0.67, T=20.75, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-29.78, exp=REG_T_ACC
