[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 5.20, y_rov=-101.20, vy_rov=-0.26, L= 109.32, dl_dt_cmd= 0.05, prev_cmd= 0.05, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.10, exp=REG_T_ACC
IC_L_6: t= 5.30, y_rov=-101.22, vy_rov=-0.26, L= 109.33, dl_dt_cmd= 0.10, prev_cmd= 0.10, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.15, exp=REG_T_ACC
IC_L_6: t= 5.40, y_rov=-101.25, vy_rov=-0.26, L= 109.34, dl_dt_cmd= 0.15, prev_cmd= 0.15, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.20, exp=REG_T_ACC
IC_L_6: t= 5.50, y_rov=-101.28, vy_rov=-0.26, L= 109.36, dl_dt_cmd= 0.20, prev_cmd= 0.20, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.25, exp=REG_T_ACC
IC_L_6: t= 5.60, y_rov=-101.30, vy_rov=-0.26, L= 109.39, dl_dt_cmd= 0.25, prev_cmd= 0.25, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.20, exp=REG_T_ACC
IC_L_6: t= 5.70, y_rov=-101.33, vy_rov=-0.26, L= 109.41, dl_dt_cmd= 0.20, prev_cmd= 0.20, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.25, exp=REG_T_ACC
IC_L_6: t= 5.80, y_rov=-101.35, vy_rov=-0.26, L= 109.43, dl_dt_cmd= 0.25, prev_cmd= 0.25, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.30, exp=REG_T_ACC
IC_L_6: t= 5.90, y_rov=-101.38, vy_rov=-0.26, L= 109.46, dl_dt_cmd= 0.30, prev_cmd= 0.30, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.35, exp=REG_T_ACC
IC_L_6: t= 6.00, y_rov=-101.41, vy_rov=-0.26, L= 109.50, dl_dt_cmd= 0.35, prev_cmd= 0.35, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.40, exp=REG_T_ACC
IC_L_6: t= 6.10, y_rov=-101.43, vy_rov=-0.26, L= 109.54, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.45, exp=REG_T_ACC
IC_L_6: t= 6.20, y_rov=-101.46, vy_rov=-0.26, L= 109.59, dl_dt_cmd= 0.45, prev_cmd= 0.45, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.50, exp=REG_T_ACC
IC_L_6: t= 6.30, y_rov=-101.48, vy_rov=-0.26, L= 109.64, dl_dt_cmd= 0.50, prev_cmd= 0.50, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.55, exp=REG_T_ACC
IC_L_6: t= 6.40, y_rov=-101.51, vy_rov=-0.26, L= 109.69, dl_dt_cmd= 0.55, prev_cmd= 0.55, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.60, exp=REG_T_ACC
IC_L_6: t= 6.50, y_rov=-101.54, vy_rov=-0.26, L= 109.75, dl_dt_cmd= 0.60, prev_cmd= 0.60, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.65, exp=REG_T_ACC
IC_L_6: t= 6.60, y_rov=-101.56, vy_rov=-0.26, L= 109.82, dl_dt_cmd= 0.65, prev_cmd= 0.65, T_bat= 2.87, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.70, exp=REG_T_ACC
IC_L_6: t= 6.70, y_rov=-101.59, vy_rov=-0.26, L= 109.89, dl_dt_cmd= 0.70, prev_cmd= 0.70, T_bat= 2.87, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.75, exp=REG_T_ACC
IC_L_6: t= 6.80, y_rov=-101.61, vy_rov=-0.26, L= 109.96, dl_dt_cmd= 0.75, prev_cmd= 0.75, T_bat= 2.87, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.80, exp=REG_T_ACC
IC_L_6: t= 6.90, y_rov=-101.64, vy_rov=-0.26, L= 110.04, dl_dt_cmd= 0.80, prev_cmd= 0.80, T_bat= 2.88, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.85, exp=REG_T_ACC
IC_L_6: t= 7.00, y_rov=-101.67, vy_rov=-0.26, L= 110.13, dl_dt_cmd= 0.85, prev_cmd= 0.85, T_bat= 2.88, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.90, exp=REG_T_ACC
IC_L_6: t= 7.10, y_rov=-101.69, vy_rov=-0.26, L= 110.22, dl_dt_cmd= 0.90, prev_cmd= 0.90, T_bat= 2.89, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 0.95, exp=REG_T_ACC
IC_L_6: t= 7.20, y_rov=-101.72, vy_rov=-0.26, L= 110.31, dl_dt_cmd= 0.95, prev_cmd= 0.95, T_bat= 2.89, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret= 1.00, exp=REG_T_ACC
